orgID,orgName,orgTypeID
1,EcoBloom Composting,5
2,Unity Homeless Shelter,3
3,Compost Cultivators,5
4,Precious Paws Animal Shelter,7
5,Open Arms Animal Shelter,7
6,Earth and Sky Garden Co-op,4
7,Loving Spoonfuls,2
8,Westview Academy,8
9,Helping Paws Animal Rescue,7
10,Second Chance Animal Shelter,7
11,Faith House Homeless Shelter,3
12,The Garden Project,4
13,RenewOrganic Composting,5
14,CleanEnergy Innovations,6
15,Share a Meal,2
16,Loving Paws Animal Rescue,7
17,Bread of Life,2
18,NutriGrow Composting,5
19,Harvest Hope Food Bank,1
20,Food2Fuel Solutions,6
21,Safe Harbor Homeless Shelter,3
22,BioCycle Composting,5
23,Nature's Composters,5
24,Goodwill Food Bank,1
25,Sunrise,2
26,Pure Earth Composting,5
27,Sunflower City Garden,4
28,Riverdale Academy,8
29,ZeroWaste Energy,6
30,Care & Share,2
31,Second Helpings,1
32,Cedarwood High,8
33,Paws and Claws Animal Shelter,7
34,Gentle Hearts Animal Shelter,7
35,Compost Connect,5
36,Willowdale Middle,8
37,Nourish,2
38,GreenGen Energy,6
39,Fertile Ground Composting,5
40,Good Dirt Composting,5
41,Community Kitchen Collective,2
42,Fairview School,8
43,Feed the Need,1
44,Ivy League High,8
45,Snuggles and Smiles Animal Sanctuary,7
46,Helping Hand Homeless Shelter,3
47,Lucky Paws Animal Sanctuary,7
48,Sunshine Pantry,1
49,The Growing Connection,4
50,Rockview Elementary,8
51,Sustainable Waste Solutions,6
52,WasteStream Energy,6
53,Shelter of the Heart Homeless Shelter,3
54,Orchardview School,8
55,Mercy Mission Homeless Shelter,3
56,Pinecrest School,8
57,Hunger Relief,2
58,EarthWorks Composting,5
59,Beacon of Light Homeless Shelter,3
60,Unity Kitchen,2
61,Kind Hearts Animal Rescue,7
62,Soil Savers,5
63,Lakeside Prep,8
64,Sow and Grow Garden Collective,4
65,Ridgeview Academy,8
66,Good Samaritan,2
67,Happy Tails Animal Sanctuary,7
68,Garden of Hope and Healing,4
69,Bloom and Grow Community Garden,4
70,Community Cupboard,1
71,Caring Critters Animal Shelter,7
72,Food for All,1
73,GreenThumb Community Garden,4
74,Oasis Homeless Shelter,3
75,Fur-ever Home Animal Rescue,7
76,Feed the People,2
77,Harvest Table,2
78,Seeds of Change Community Garden,4
79,Furry Angels Animal Rescue,7
80,Haven House Homeless Shelter,3
81,GreenCycle Composting,5
82,EcoFuel Solutions,6
83,Hope House,2
84,Hope House Homeless Shelter,3
85,Joyful Eats,2
86,Stray Haven Animal Shelter,7
87,TerraFertile Composting,5
88,Hope's Harvest,1
89,Community Roots Garden,4
90,Compost Crusaders,5
91,Nourish the Soul,1
92,Open Heart,2
93,Urban Harvest Co-op,4
94,Safe Haven Homeless Shelter,3
95,Oakdale High,8
96,The Cultivators Co-op,4
97,Harvest Time Community Garden,4
98,Whiskers and Wags Animal Rescue,7
99,Purrfect Companions Animal Shelter,7
100,Faithful Friends Animal Rescue,7
101,BioEnergy Systems,6
102,Sunnybrook School,8
103,PowerCompost,6
104,Wagging Tails Animal Shelter,7
105,Maplewood Prep,8
106,Meals of Grace,2
107,Brighter Tomorrow Homeless Shelter,3
108,Furry Friends Animal Rescue,7
109,Open Door Homeless Shelter,3
110,Seed to Sprout Community Garden,4
111,CleanCycle Composting,5
112,RenewWaste Technologies,6
113,Summitview Elementary,8
114,Parkside Middle,8
115,Stepping Stones Homeless Shelter,3
116,BioRich Composting,5
117,Compassionate Care Homeless Shelter,3
118,SoilsAlive Composting,5
119,Meadowbrook Elementary,8
120,Grace Haven Homeless Shelter,3
121,Earth's Bounty Composting,5
122,Rising Sun Homeless Shelter,3
123,Second Harvest,2
124,Brookside Academy,8
125,Hillcrest Middle,8
126,Bridge to Hope Homeless Shelter,3
127,Garden Oasis Co-op,4
128,New Beginnings Homeless Shelter,3
129,Faith in Action,2
130,Harvest Compost,5
131,Sustenance,2
132,Full Plates,1
133,Serenity House Homeless Shelter,3
134,Helping Hands,2
135,Woodland High,8
